uid,domainID,siteID,namedLocation,sampleID,setDate,collectDate,chemSubsampleID,precipCalcium,precipCalciumFlag,precipCalciumUncertainty,precipMagnesium,precipMagnesiumFlag,precipMagnesiumUncertainty,precipPotassium,precipPotassiumFlag,precipPotassiumUncertainty,precipSodium,precipSodiumFlag,precipSodiumUncertainty,precipAmmonium,precipAmmoniumFlag,precipAmmoniumUncertainty,precipNitrate,precipNitrateFlag,precipNitrateUncertainty,precipSulfate,precipSulfateFlag,precipSulfateUncertainty,precipPhosphate,precipPhosphateFlag,precipPhosphateUncertainty,precipChloride,precipChlorideFlag,precipChlorideUncertainty,precipBromide,precipBromideFlag,precipBromideUncertainty,pH,pHUncertainty,precipConductivity,precipConductivityUncertainty,externalRemarks,laboratoryName,labCondition,labConditionRemarks,receivedDate,analysisDate,sampleMass,sampleCondition
bb01d518-21b9-40fe-8624-9d63282fe7d0,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20201214.1231,2020-12-01T19:49Z,2020-12-14,WDP.WREF.20201214.1231.CHEM,0.021,,0.006,0.02,,0.002,0.013,,0.002,0.149,,0.002,0.051,,0.018,0.19,,0.005,0.073,,0.005,0.004,Below detection limit,0.006,0.276,,0.003,0.001,Below detection limit,0.004,5.49,0.1,3.1,0.4,,Illinois State Water Survey Central Analytical Laboratory,,,,2021-01-08T12:10Z,360.77,
08bdbf40-b461-4c38-a31d-5f94141693c2,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20201229.1344,2020-12-14T20:38Z,2020-12-29,WDP.WREF.20201229.1344.CHEM,0.026,,0.006,0.048,,0.002,0.017,,0.002,0.423,,0.002,0.022,,0.018,0.09,,0.005,0.129,,0.005,0.001,Below detection limit,0.006,0.787,,0.003,0.003,Below detection limit,0.004,5.46,0.1,4.8,0.4,,Illinois State Water Survey Central Analytical Laboratory,,,,2021-01-19T14:27Z,2426.59,
5113659e-1d4f-484a-beb9-6772f5bb53f4,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20200920.1528,2020-09-10T03:24Z,2020-09-20,WDP.WREF.20200920.1528.CHEM,0.548,Unresolved ion balance (IPD/CPD) discrepancy,0.006,0.061,Unresolved ion balance (IPD/CPD) discrepancy,0.002,0.107,Unresolved ion balance (IPD/CPD) discrepancy,0.002,0.079,Unresolved ion balance (IPD/CPD) discrepancy,0.002,1.346,Unresolved ion balance (IPD/CPD) discrepancy,0.018,1.786,Unresolved ion balance (IPD/CPD) discrepancy,0.005,0.614,Unresolved ion balance (IPD/CPD) discrepancy,0.005,0.009,Unresolved ion balance (IPD/CPD) discrepancy,0.006,0.136,Unresolved ion balance (IPD/CPD) discrepancy,0.003,0,Unresolved ion balance (IPD/CPD) discrepancy|Below detection limit,0.004,5.36,0.1,15.1,0.4,Reanalysis requested but not performed due to insufficient sample volume. IPD -42.74%,Illinois State Water Survey Central Analytical Laboratory,,,,2020-10-06T13:37Z,17.84,
615c5f74-f927-46fd-85cf-e8af6e567cce,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20201007.1346,2020-09-20T22:42Z,2020-10-07,WDP.WREF.20201007.1346.CHEM,0.055,Debris observed in sample,0.006,0.073,Debris observed in sample,0.002,0.028,Debris observed in sample,0.002,0.61,Debris observed in sample,0.002,0.068,Debris observed in sample,0.018,0.16,Debris observed in sample,0.005,0.265,Debris observed in sample,0.005,-0.001,Below detection limit|Debris in sample,0.006,1.096,Debris observed in sample,0.003,0.004,Below detection limit|Debris in sample,0.004,5.51,0.1,6.7,0.4,,Illinois State Water Survey Central Analytical Laboratory,,Black specs and bug matter present.,,2020-10-22T15:38Z,1102.44,c
c6cdec39-01ae-4cce-8f2c-813d30718dfb,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20201028.1322,2020-10-07T21:00Z,2020-10-28,WDP.WREF.20201028.1322.CHEM,0.024,Debris observed in sample,0.006,0.032,Debris observed in sample,0.002,0.014,Debris observed in sample,0.002,0.272,Debris observed in sample,0.002,0.029,Debris observed in sample,0.018,0.098,Debris observed in sample,0.005,0.129,Debris observed in sample,0.005,0.007,Debris observed in sample,0.006,0.517,Debris observed in sample,0.003,0.002,Below detection limit|Debris in sample,0.004,5.46,0.1,3.9,0.4,,Illinois State Water Survey Central Analytical Laboratory,,Black specs present.,,2020-11-06T14:12Z,1546.17,c
50e9a29e-f587-41fa-a315-8995d41db628,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20201111.1355,2020-10-28T20:33Z,2020-11-11,WDP.WREF.20201111.1355.CHEM,0.023,Debris observed in sample,0.006,0.021,Debris observed in sample,0.002,0.012,Debris observed in sample,0.002,0.177,Debris observed in sample,0.002,0.037,Debris observed in sample,0.018,0.117,Debris observed in sample,0.005,0.092,Debris observed in sample,0.005,0.003,Below detection limit|Debris in sample,0.006,0.336,Debris observed in sample,0.003,0.001,Below detection limit|Debris in sample,0.004,5.44,0.1,3.3,0.4,,Illinois State Water Survey Central Analytical Laboratory,,Black specs/bug matter present,,2020-11-20T14:27Z,1082.63,c
6c4e767d-1f78-47a2-8190-707ef8404726,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20201120.1245,2020-11-11T22:03Z,2020-11-20,WDP.WREF.20201120.1245.CHEM,0.02,Debris observed in sample,0.006,0.032,Debris observed in sample,0.002,0.016,Debris observed in sample,0.002,0.285,Debris observed in sample,0.002,0.02,Debris observed in sample,0.018,0.079,Debris observed in sample,0.005,0.109,Debris observed in sample,0.005,0.004,Below detection limit|Debris in sample,0.006,0.531,Debris observed in sample,0.003,0.002,Below detection limit|Debris in sample,0.004,5.45,0.1,3.9,0.4,,Illinois State Water Survey Central Analytical Laboratory,,Black specs present.,,2020-12-02T14:35Z,2540.72,c
08ffa6b3-1eb1-4406-88b9-4d1980a0abfc,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20200309.1318,2020-02-26T20:30Z,2020-03-09,WDP.WREF.20200309.1318.CHEM,0.038,,0.006,0.057,,0.002,0.029,,0.002,0.532,,0.002,0.103,,0.018,0.14,,0.005,0.192,,0.005,0.004,Below detection limit,0.006,0.899,,0.003,0.004,Below detection limit,0.004,5.69,0.1,5.6,0.4,,Illinois State Water Survey Central Analytical Laboratory,,,,2020-03-19T13:52Z,329.21,
fff2708e-7f3b-4c6e-b827-2dc1a74dc60b,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20200716.1428,2020-07-01T19:39Z,2020-07-16,WDP.WREF.20200716.1428.CHEM,0.094,,0.006,0.019,,0.002,0.003,,0.002,0.058,,0.002,0.153,,0.018,0.675,,0.005,0.553,,0.005,0.011,,0.006,0.097,,0.003,0,Below detection limit,0.004,4.87,0.1,7.4,0.4,,Illinois State Water Survey Central Analytical Laboratory,,Small sample 20 ML,,2020-08-05T14:17Z,22.98,
d87504ac-c65c-4d4f-9bfa-1499d8a2bf31,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20200825.1451,2020-08-11T19:40Z,2020-08-25,WDP.WREF.20200825.1451.CHEM,0.067,,0.006,0.02,,0.002,0.012,,0.002,0.093,,0.002,0.241,,0.018,0.521,,0.005,0.267,,0.005,0.01,,0.006,0.184,,0.003,0.002,Below detection limit,0.004,5.31,0.1,5,0.4,,Illinois State Water Survey Central Analytical Laboratory,,Small sample,,2020-09-18T10:20Z,23.97,
74570af4-e77c-4909-bc78-07a6049c9c3c,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20200115.1139,2019-12-31T18:47Z,2020-01-15,WDP.WREF.20200115.1139.CHEM,0.022,Debris observed in sample,0.006,0.038,Debris observed in sample,0.002,0.013,Debris observed in sample,0.002,0.327,Debris observed in sample,0.002,0.01,Below detection limit|Debris in sample,0.018,0.087,Debris observed in sample,0.005,0.125,Debris observed in sample,0.005,0.005,Below detection limit|Debris in sample,0.006,0.629,Debris observed in sample,0.003,0.003,Below detection limit|Debris in sample,0.004,5.56,0.1,4.4,0.4,,Illinois State Water Survey Central Analytical Laboratory,,Black specs present,,2020-01-27T13:28Z,2829.96,c
9834d7c0-410c-46f9-a26f-e3f6937d06a3,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20200128.1138,2020-01-15T19:50Z,2020-01-28,WDP.WREF.20200128.1138.CHEM,0.01,,0.006,0.018,,0.002,0.008,,0.002,0.161,,0.002,0.021,,0.018,0.103,,0.005,0.076,,0.005,0.004,Below detection limit,0.006,0.288,,0.003,0.002,Below detection limit,0.004,5.45,0.1,3.2,0.4,,Illinois State Water Survey Central Analytical Laboratory,,,,2020-02-07T17:10Z,2846.23,
e96e3947-379a-419b-9766-cc5d6da836b9,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20200210.1226,2020-01-28T19:54Z,2020-02-10,WDP.WREF.20200210.1226.CHEM,0.02,,0.006,0.018,,0.002,0.01,,0.002,0.168,,0.002,0.025,,0.018,0.146,,0.005,0.077,,0.005,0.003,Below detection limit,0.006,0.29,,0.003,0.002,Below detection limit,0.004,5.33,0.1,3.5,0.4,,Illinois State Water Survey Central Analytical Laboratory,,,,2020-02-20T12:54Z,1660.9,
9d966721-31f5-45c8-bbb5-645c7eb91b1f,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20200226.1224,2020-02-10T20:40Z,2020-02-26,WDP.WREF.20200226.1224.CHEM,0.042,,0.006,0.075,,0.002,0.027,,0.002,0.635,,0.002,0.086,,0.018,0.148,,0.005,0.233,,0.005,0.003,Below detection limit,0.006,1.193,,0.003,0.005,,0.004,5.71,0.1,6.7,0.4,,Illinois State Water Survey Central Analytical Laboratory,,,,2020-03-11T18:43Z,655.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
