"","mriver","riversd","mgw","gwsd","mprecip","precipsd","site_number"
"1",0.050689093341854,0.030085040887286,0.397772205845396,0.0502116656642921,0.55153870081275,0.0474744355237393,21
"2",0.0192262750405039,0.0117068638213985,0.8142045197134,0.117648011038978,0.166569205246096,0.117830499637704,24
"3",0.0143493038477325,0.00836128103699958,0.150037112963675,0.0197316433124937,0.835613583188593,0.0200573698227002,30
"4",0.268735270297446,0.153215844538425,0.621961251814013,0.134596369254032,0.109303477888541,0.0539349157484235,31
"5",0.0143132452868085,0.0089338708816359,0.945089411114148,0.0332660216999796,0.0405973435990437,0.0313893945322391,35
"6",0.0483156206175278,0.0281243537154525,0.439004201854727,0.0503648553232072,0.512680177527745,0.0494733609860729,36
"7",0.0586196108064978,0.0348036180211033,0.428655861437025,0.0538107295794257,0.512724527756477,0.0506733521794553,38
"8",0.0271469045026467,0.0155309304130398,0.35537535026924,0.0449368219453147,0.617477745228113,0.0457833021223786,39
"9",0.0280410625195876,0.0161876699836874,0.598354356902731,0.0781760885055505,0.373604580577682,0.0788485132872467,43
"10",0.0127992097363036,0.00815061952787343,0.953795173447289,0.0276448059154867,0.033405616816407,0.0258162567150234,47
"11",0.0164854060040244,0.00964310048564782,0.562807092225432,0.163661323405913,0.420707501770544,0.165438321132528,48
"12",0.0949802702317722,0.0583888679877523,0.562762746565856,0.0699183476808307,0.342256983202372,0.0602669321474426,49
"13",0.0277643719201527,0.0160463113761484,0.411371907781248,0.0482261516752765,0.560863720298599,0.0488416488319063,51
"14",0.057832719503511,0.0338195228772842,0.265212124577911,0.0428494530804032,0.676955155918578,0.0381353829794001,59
"15",0.029312662717495,0.0169889590587192,0.638794174405111,0.0835079872161204,0.331893162877394,0.0847742565523614,62
"16",0.0141473060590083,0.00878869772187694,0.941736441047187,0.0376822180734992,0.0441162528938048,0.0361374619390028,64
"17",0.52367228462754,0.208286549784648,0.317738065781645,0.163567618525914,0.158589649590815,0.0645295237316625,68
"18",0.0322411991594807,0.0188740554042696,0.370458862210482,0.0448900237276251,0.597299938630037,0.0449613573050582,69
"19",0.305733347998928,0.19994156749358,0.618869723353148,0.180695464938447,0.0753969286479238,0.0444303623196609,70
"20",0.0116754682240169,0.00647015435336758,0.21494971351548,0.0350830241571308,0.773374818260503,0.0354920349069948,71
"21",0.0800477368571512,0.0445419536960562,0.374754046538221,0.0479296615468105,0.545198216604627,0.0427362879081153,80
"22",0.108571226885155,0.0668625725035026,0.648510968908744,0.0778030710324888,0.242917804206101,0.0659892264769446,110
"23",0.0151088596615089,0.00948132741331502,0.937559532044902,0.04063294495033,0.0473316082935891,0.0388603489850835,125
"24",0.0136693880350895,0.007639788772032,0.181152641378512,0.0250657066980871,0.805177970586399,0.0256228220943238,126
"25",0.0182041701127125,0.0103594695310218,0.236448240909186,0.0350750999938054,0.745347588978101,0.0354523731513426,127
"26",0.178475099364524,0.103942414657718,0.597470981166184,0.0949872248459678,0.224053919469292,0.0634612184724143,128
"27",0.0847919122618853,0.0487321762186331,0.351837657108606,0.0520585856054432,0.563370430629508,0.0436869552436093,129
"28",0.0819750160471491,0.0461626353687085,0.331653393448835,0.0466161876636636,0.586371590504015,0.0407987104543375,130
"29",0.150254203265129,0.0881030569712778,0.407629416829622,0.0777049098551025,0.442116379905249,0.051101007579559,131
"30",0.35108198584025,0.192632557311974,0.565697197158635,0.170162250769059,0.0832208170011151,0.0467570191506123,132
"31",0.543834507346394,0.224437496351495,0.35000431580913,0.184830042648183,0.106161176844475,0.0580426198159811,134
"32",0.216275305457387,0.120088573599124,0.421520922615663,0.099928819580735,0.36220377192695,0.0548215224584746,135
"33",0.0134082816461531,0.00746510124979954,0.346662942363207,0.073609207486288,0.63992877599064,0.0746319717696586,136
"34",0.0253930670062569,0.0146816767105619,0.246692883858631,0.0412685255050153,0.727914049135112,0.0407206425673782,137
