"","mriver","riversd","mgw","gwsd","mprecip","precipsd","site_number"
"1",0.191424308788089,0.123295027690863,0.432070299634645,0.106255783634264,0.376505391577265,0.0872064993898095,21
"2",0.0380302035319468,0.0233402020083192,0.628484558620127,0.0936788973161712,0.333485237847926,0.092553484448254,24
"3",0.0210796081684632,0.0126284456962488,0.180798285487641,0.0191664692221385,0.798122106343896,0.0208554350935061,30
"4",0.0311127725147921,0.0183549807325515,0.343633040020144,0.0351972642075292,0.625254187465064,0.0354109430090664,31
"5",0.0373809493258158,0.0248588403465267,0.87536572590197,0.0672070580798053,0.087253324772214,0.0617526663780011,35
"6",0.0531422876862519,0.0316902840134734,0.375397847055282,0.0470425763459807,0.571459865258466,0.0478554806603108,36
"7",0.0683632454702149,0.0430382334967616,0.426100813909747,0.0619282896912699,0.505535940620038,0.0600022441988766,38
"8",0.105992746382849,0.0664534973042401,0.386360559372889,0.071021550587296,0.507646694244261,0.0671427201517794,39
"9",0.0384230495352839,0.0236956087001503,0.256769401591896,0.0326729346931545,0.70480754887282,0.0344118699437835,43
"10",0.0139870093642946,0.00882532066139106,0.42338475662175,0.320388376186281,0.562628234013955,0.317384156420257,47
"11",0.0113891837748173,0.00729342970805491,0.397922160660901,0.33891587524735,0.590688655564281,0.336238875419309,48
"12",0.0411441939142928,0.0243013124279055,0.379083149307614,0.0435631257884978,0.579772656778093,0.0436188506783963,49
"13",0.0481532006990789,0.0295752206403681,0.336352864594485,0.043408641692039,0.615493934706436,0.0437552668023344,51
"14",0.0539719716731757,0.0343291003304698,0.202094691639432,0.0339374323173838,0.743933336687393,0.0380646361084091,59
"15",0.0472711643019522,0.0290425763799347,0.45868463445028,0.0590448578219816,0.494044201247767,0.0589191779767336,62
"16",0.0439396821072283,0.0277961339326641,0.176807468818819,0.0288701236203706,0.779252849073953,0.0325293144672023,63
"17",0.0367911438765189,0.0218662899874156,0.362135288711379,0.0399743236914981,0.601073567412102,0.0403583553419096,64
"18",0.46528720657318,0.213901071203974,0.34586351530678,0.178537770551804,0.188849278120041,0.089488720944099,68
"19",0.0266420804126796,0.0154715772548949,0.223812162354371,0.0252129202455392,0.749545757232949,0.0267671463121666,69
"20",0.0912897106873147,0.0573590840622756,0.288612072635588,0.0560816169863519,0.620098216677097,0.0573166670876357,70
"21",0.0247613249688142,0.0148860921473363,0.196218890949383,0.0225052992253433,0.779019784081803,0.024282228583953,71
"22",0.0435862572550927,0.027454150588984,0.227154771957553,0.0328892758244737,0.729258970787355,0.0358746067495531,80
"23",0.119837886946727,0.0769820509903524,0.30908523268167,0.0671418051629667,0.571076880371603,0.0663294000438949,110
"24",0.0255664132372643,0.0145683035324696,0.471993451534543,0.0434441828450881,0.502440135228193,0.0430559720556532,125
"25",0.0523651430314789,0.0316080993651692,0.301227809321655,0.0409687809573973,0.646407047646866,0.0429894819749653,126
"26",0.110029260378326,0.0712166566930017,0.342594608021139,0.0690939750130781,0.547376131600535,0.0667957599132112,127
"27",0.0755640056788649,0.046916168003992,0.312300542881728,0.0520474026506496,0.612135451439407,0.0528317356152426,128
"28",0.439287858257469,0.234047614240283,0.438373863872579,0.209344782762968,0.122338277869952,0.0694882601670045,129
"29",0.413302577478143,0.22540718963601,0.414213208812813,0.188984311941712,0.172484213709044,0.0877777117616804,130
"30",0.0971859132161134,0.0599271627461651,0.447524193634174,0.0717976644865904,0.455289893149713,0.0668066605710686,131
"31",0.335239849990768,0.223469218491122,0.578014102889462,0.210788091925017,0.0867460471197704,0.0535218543721113,132
"32",0.0195327824684669,0.0117596042483058,0.679732126094474,0.167399954214617,0.300735091437059,0.166784572408391,133
"33",0.415431353671467,0.33233162581131,0.523623256701809,0.32544658004342,0.0609453896267242,0.0397330702273932,134
"34",0.0282627892914012,0.0164294213068107,0.284211353210803,0.0282142274499774,0.687525857497796,0.0297601647292614,135
"35",0.0212517614259136,0.0122749681533914,0.232137092124317,0.0221894444398438,0.746611146449769,0.0234046079483613,136
"36",0.0434045937691465,0.02811947367926,0.13001754435205,0.0237345038306188,0.826577861878803,0.0291951611491727,137
