"","mriver","riversd","mgw","gwsd","mprecip","precipsd","site_number"
"1",0.260768534560093,0.25217603587312,0.576900053859698,0.221994144296032,0.162331411580209,0.0947322297088328,21
"2",0.0499889983878114,0.0330833773920208,0.757859388402728,0.103283991945159,0.19215161320946,0.0999720626779946,24
"3",0.0413202857491013,0.025799238780224,0.228081738297946,0.0342003380613786,0.730597975952953,0.0371159403332739,30
"4",0.0455063405793191,0.0276699327541859,0.461611151569541,0.0731530314903554,0.49288250785114,0.0711834240957533,31
"5",0.0430983041262422,0.0302413561748931,0.90242838811391,0.0479929383558378,0.0544733077598482,0.0367888703484148,35
"6",0.0713571917498168,0.0623495681563287,0.50623030150091,0.0959826481456962,0.422412506749273,0.088173908650243,36
"7",0.0857357532299488,0.0996386521808969,0.679245062418364,0.137718577304657,0.235019184351687,0.114163486348392,38
"8",0.238513331873818,0.2991091263667,0.5578651675258,0.252044993206472,0.203621500600382,0.123659373375787,39
"9",0.067603119960237,0.0426456986757734,0.317393583492274,0.0546400726762178,0.615003296547489,0.0548311355358002,43
"10",0.0310690062105398,0.0182185098624958,0.299531742434552,0.0318773577601857,0.669399251354909,0.032561793172712,47
"11",0.0259407839344479,0.0155290408374947,0.252277120294674,0.0255494237327051,0.721782095770878,0.0272476269019687,48
"12",0.0600977417778431,0.0386095902947822,0.479707852032837,0.0727859394341576,0.46019440618932,0.068605223901069,49
"13",0.0740208512055501,0.0477974991723496,0.409850734171261,0.0647291020998165,0.516128414623189,0.0626572342722359,51
"14",0.0983345337168977,0.0683004384573716,0.2338661476351,0.0565170512149768,0.667799318648002,0.0582436906586881,59
"15",0.0525793775264867,0.0368533287166607,0.820335794693184,0.0962930250248178,0.127084827780329,0.088983178955248,62
"16",0.0806297499731801,0.0551357929671915,0.215698406499882,0.0524113104260416,0.703671843526938,0.0556934827420047,63
"17",0.0570426459843135,0.0355312080237809,0.444315448353581,0.0602832829136318,0.498641905662105,0.0576085463380655,64
"18",0.284781509781273,0.278321718193632,0.629189918751169,0.265568641428673,0.0860285714675574,0.0570947417695412,68
"19",0.0479330870068821,0.0305291023646414,0.283893055676957,0.0440069377739821,0.668173857316161,0.0448192614145444,69
"20",0.310323662780655,0.34139595659742,0.343114716503942,0.21371608409609,0.346561620715403,0.186852266347183,70
"21",0.0490195482742996,0.0313438817327267,0.245918180940593,0.0384807158168796,0.705062270785108,0.0406630284493663,71
"22",0.0795286845594609,0.0553748797780426,0.277867555839385,0.0571983735592295,0.642603759601154,0.0579893915837554,80
"23",0.362726154824295,0.342191616984081,0.349001016120278,0.233374043747502,0.288272829055427,0.166136840040904,110
"24",0.0380828576199299,0.0230124407326656,0.578649547367836,0.0839955411394766,0.383267595012234,0.0817752206733635,125
"25",0.0846938856615856,0.0673137855153018,0.365455813085993,0.0664119404131574,0.549850301252422,0.0665345005516047,126
"26",0.382764767429033,0.369357000685263,0.409190706375936,0.282754917003963,0.208044526195031,0.145611342446294,127
"27",0.137074722993161,0.153104251632723,0.381980934054183,0.107380207324856,0.480944342952657,0.105288382353251,128
"28",0.423665421579399,0.244857505652114,0.464446468521047,0.22388812198539,0.111888109899554,0.0668500764582705,129
"29",0.415665328900054,0.220047067603757,0.402672591018335,0.18018574262982,0.181662080081611,0.089561538887123,130
"30",0.127201802220351,0.110578515932681,0.562786208831003,0.119594920328942,0.310011988948646,0.099729765473061,131
"31",0.322704121650401,0.221740962626046,0.590329463349672,0.208977882372858,0.0869664149999275,0.0550777130191785,132
"32",0.0257209451133201,0.0154588775465547,0.684731350425459,0.129987062660329,0.289547704461221,0.128676661678348,133
"33",0.286697132733347,0.309878519953064,0.657050294686809,0.304973355097192,0.0562525725798433,0.0370259436528321,134
"34",0.0474362644500388,0.0296137552743864,0.33299340672329,0.0401367270584437,0.619570328826672,0.0412800329707696,135
"35",0.0392290488986914,0.0240114398270636,0.277671705333562,0.0328177586057596,0.683099245767747,0.0350161151734417,136
"36",0.0921834020485077,0.0609203928396658,0.147303568555055,0.043234126444348,0.760513029396437,0.0495220957482167,137
