"","Site.Number","O4","O5","O6","O7","O8","O9"
"73",126,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"74",126,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"75",126,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"76",127,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"77",127,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"78",127,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"79",128,-17.8916130065918,-16.106107711792,-15.2995452880859,-13.490647315979,-14.216121673584,-14.3467082977295
"80",128,-17.8916130065918,-16.106107711792,-15.2995452880859,-13.490647315979,-14.216121673584,-14.3467082977295
"81",128,-17.8916130065918,-16.106107711792,-15.2995452880859,-13.490647315979,-14.216121673584,-14.3467082977295
"82",129,-16.3921318054199,-14.6768226623535,-13.9320869445801,-12.3677272796631,-13.133243560791,-13.1608657836914
"83",129,-16.3921318054199,-14.6768226623535,-13.9320869445801,-12.3677272796631,-13.133243560791,-13.1608657836914
"84",129,-16.3921318054199,-14.6768226623535,-13.9320869445801,-12.3677272796631,-13.133243560791,-13.1608657836914
"85",130,-16.3921318054199,-14.6768226623535,-13.9320869445801,-12.3677272796631,-13.133243560791,-13.1608657836914
"86",130,-16.3921318054199,-14.6768226623535,-13.9320869445801,-12.3677272796631,-13.133243560791,-13.1608657836914
"87",131,-16.3921318054199,-14.6768226623535,-13.9320869445801,-12.3677272796631,-13.133243560791,-13.1608657836914
"88",131,-16.3921318054199,-14.6768226623535,-13.9320869445801,-12.3677272796631,-13.133243560791,-13.1608657836914
"89",131,-16.3921318054199,-14.6768226623535,-13.9320869445801,-12.3677272796631,-13.133243560791,-13.1608657836914
"90",132,-17.2424354553223,-15.4896936416626,-14.7224912643433,-13.0139932632446,-13.7562074661255,-13.8359470367432
"91",132,-17.2424354553223,-15.4896936416626,-14.7224912643433,-13.0139932632446,-13.7562074661255,-13.8359470367432
"92",132,-17.2424354553223,-15.4896936416626,-14.7224912643433,-13.0139932632446,-13.7562074661255,-13.8359470367432
"93",133,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"94",133,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"95",134,-16.5624752044678,-14.816427230835,-13.9750337600708,-12.4141817092896,-13.1449785232544,-13.3159828186035
"96",134,-16.5624752044678,-14.816427230835,-13.9750337600708,-12.4141817092896,-13.1449785232544,-13.3159828186035
"97",134,-16.5624752044678,-14.816427230835,-13.9750337600708,-12.4141817092896,-13.1449785232544,-13.3159828186035
"98",135,-16.5624752044678,-14.816427230835,-13.9750337600708,-12.4141817092896,-13.1449785232544,-13.3159828186035
"99",135,-16.5624752044678,-14.816427230835,-13.9750337600708,-12.4141817092896,-13.1449785232544,-13.3159828186035
"100",135,-16.5624752044678,-14.816427230835,-13.9750337600708,-12.4141817092896,-13.1449785232544,-13.3159828186035
"101",136,-16.5624752044678,-14.816427230835,-13.9750337600708,-12.4141817092896,-13.1449785232544,-13.3159828186035
"102",136,-16.5624752044678,-14.816427230835,-13.9750337600708,-12.4141817092896,-13.1449785232544,-13.3159828186035
"103",136,-16.5624752044678,-14.816427230835,-13.9750337600708,-12.4141817092896,-13.1449785232544,-13.3159828186035
"104",137,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"105",137,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"106",137,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
