"","Site.Number","date","starO","starH","sslO","sslH","EO","EH","slope","input","IO","IH","EI"
"1","21","2020-05-07","0.00271825534882082","-0.0400660939866671","-0.00592479079622752","-0.0850988743986232","-0.0442581098012884","-0.249691010664515","4.52739914589932","-58.6433243915964","-19.7671218995808","-148.136975196646","0.106432801120917"
"2","21","2020-06-03","-0.0012046216825452","-0.0617041373841234","-0.00731809596346102","-0.0921694250231994","-0.0433567933341522","-0.240724039694155","4.46531579147083","-57.9729831249019","-19.2302845501399","-143.842276401119","0.100991370928464"
"3","21","2020-10-08","0.000302090662820708","-0.0552879545756766","-0.00680950000195223","-0.0905058443223697","-0.0363346996569039","-0.215982950178543","5.33226284906673","-48.2582237694818","-21.8380674232096","-164.704539385677","0.353541743903301"
"4","24","2020-05-07","0.0019799068734159","-0.0455452502178078","-0.00668078130974623","-0.0905743433557887","-0.0394549412154468","-0.224147230155454","4.67946902301743","-54.8677133282936","-19.5353435272693","-146.282748218154","0.176022911052636"
"5","24","2020-06-03","-0.00194008155962267","-0.0670597869659331","-0.00806999342939892","-0.0975702050474302","-0.0469120719731449","-0.256903186979825","4.0577520866037","-67.1542918568843","-19.5711415293552","-146.569132234842","0.04509424014323"
"6","24","2020-10-08","-0.000434478677216214","-0.0606802267497239","-0.00756318870889407","-0.0959310142514334","-0.0306870181660231","-0.1814724954284","5.46532961413664","-44.636938595957","-21.5558357807328","-162.446686245862","0.506876198779933"
"7","30","2020-05-05","0.00350601138823877","-0.0342981033321367","-0.00508790508099498","-0.0790765505461449","-0.0302134259409689","-0.193956275289432","7.25157110662972","-30.1184405361228","-53.6035432243453","-418.828345794762","2.18891937548445"
"8","30","2020-06-05","-0.00041994753582928","-0.0560661640477823","-0.00648944927833619","-0.0862607174726361","-0.0499335647493779","-0.275084126685648","4.20498776086244","-64.3361753225225","-19.5878618139624","-146.702894511699","0.0373644866412396"
"9","30","2020-10-08","0.00108794851367624","-0.0496114280824513","-0.00597715363280976","-0.084556280883273","-0.0318518230877301","-0.194813079833008","5.80511652447117","-42.4181878289321","-23.8819911914925","-181.05592953194","0.604706783629711"
"10","31","2020-05-05","0.00350601138823877","-0.0342981033321367","-0.00508790508099498","-0.0790765505461449","-0.0366711514765982","-0.223080696978601","5.21416210862532","-50.7466353028871","-21.8055169293829","-164.444135435063","0.365831727078085"
"11","31","2020-06-01","-0.00041994753582928","-0.0560661640477823","-0.00648944927833619","-0.0862607174726361","-0.0346309016662316","-0.211078941536019","5.2106153119904","-49.7535932409234","-21.4217829106825","-161.37426328546","0.393545824779691"
"12","31","2020-10-08","0.00108794851367624","-0.0496114280824513","-0.00597715363280976","-0.084556280883273","-0.0462362859253383","-0.262138258828389","3.82748142221335","-72.3093958383754","-19.7265498772296","-147.812399017837","0.0848072094420888"
"13","32","2020-06-05","-0.00041994753582928","-0.0560661640477823","-0.00648944927833619","-0.0862607174726361","-0.0473739466437437","-0.267939777943906","4.01897527205649","-68.7033122444525","-19.7696115002804","-148.156892002243","0.0765911415968742"
"14","35","2020-05-06","0.00330325893882268","-0.0358581106837946","-0.00530109058044514","-0.0806673300775962","-0.0425328101346408","-0.246693930001361","4.75919818613097","-56.122260640992","-20.4030559221552","-153.224447377242","0.172497052438772"
"15","35","2020-06-04","-0.000621906768484208","-0.05759100699222","-0.0067007968190196","-0.0878259196854773","-0.0347449002208804","-0.216681193533332","4.29021579655757","-63.9713903288204","-19.939539949569","-149.516319596552","0.31850732934177"
"16","35","2020-10-08","0.000885684619550399","-0.0511466980909692","-0.00618932285950637","-0.0861302981028252","-0.0292899400038699","-0.188389786082854","4.26133555981314","-62.3823492428218","-19.3604829748251","-144.883863798601","0.462399064265271"
"17","36","2020-05-06","0.00330325893882268","-0.0358581106837946","-0.00530109058044514","-0.0806673300775962","-0.0400121365984286","-0.233258688433064","5.00268517147168","-51.4504205725075","-20.5018238283229","-154.014590626583","0.227991163544168"
"18","36","2020-06-04","-0.000621906768484208","-0.05759100699222","-0.0067007968190196","-0.0878259196854773","-0.0475980362997101","-0.271203182320935","3.62156207138471","-77.0945669572044","-19.8916984498051","-149.133587598441","0.0736156138016461"
